date,adm1_code,data,prediction,forecast_step
2022-07-01,2211,0.3692992866293966,0.3702599721585797,1
2022-07-02,2211,0.3672254640983544,0.3668868645772414,2
2022-07-03,2211,0.3639522177362894,0.3642024205165773,3
2022-07-04,2211,0.3609317911590346,0.3610997620405726,4
2022-07-05,2211,0.357432593037063,0.3583776057921728,5
2022-07-06,2211,0.3551120022759347,0.3554709392478431,6
2022-07-07,2211,0.3504864645803717,0.3534066011477427,7
2022-07-08,2211,0.3484035629751187,0.3514367779625803,8
2022-07-09,2211,0.3489942663245598,0.3501587950087609,9
2022-07-10,2211,0.3507338348343417,0.3485627401114761,10
2022-07-11,2211,0.3508370496228166,0.3477811634622241,11
2022-07-12,2211,0.3511799561044944,0.3468184643846638,12
2022-07-13,2211,0.3517067572097674,0.3462509643382408,13
2022-07-14,2211,0.3507835467792531,0.3465497490101955,14
2022-07-15,2211,0.3496530520973284,0.3462472490715362,15
2022-07-16,2211,0.3496309669154828,0.3462183661414965,16
2022-07-17,2211,0.3503540323082509,0.3463273972488926,17
2022-07-18,2211,0.3503896436786667,0.347197672466169,18
2022-07-19,2211,0.3486933031544079,0.3481100112800944,19
2022-07-20,2211,0.3453146803069246,0.348740661427189,20
2022-07-21,2211,0.3413597482520906,0.3495879916061502,21
2022-07-22,2211,0.3378634364860993,0.3512175262351331,22
2022-07-23,2211,0.3346405137031665,0.3514221892325195,23
2022-07-24,2211,0.3317385299433307,0.3518153007745931,24
2022-07-25,2211,0.3291592389596414,0.3514560670325706,25
2022-07-26,2211,0.3244536618815509,0.3514789035427996,26
2022-07-27,2211,0.3172744102991919,0.3518007481179282,27
2022-07-28,2211,0.3102109018920578,0.352864931191315,28
2022-07-29,2211,0.3033791289884914,0.3531816387859747,29
2022-07-30,2211,0.2987205945683727,0.3533203602900581,30
2022-07-31,2211,0.2958134714758297,0.3539104698077688,31
2022-08-01,2211,0.2947176796938166,0.3539776805890359,32
2022-08-02,2211,0.2928212316226676,0.3537370192026333,33
2022-08-03,2211,0.2934335413514006,0.3536914856944879,34
2022-08-04,2211,0.2928600971889475,0.3538452849692041,35
2022-08-05,2211,0.2947780848318025,0.353862449641445,36
