date,adm1_code,data,prediction,forecast_step
2022-06-01,1926,0.5454734381647576,0.5371595226789181,1
2022-06-02,1926,0.551823874628021,0.5401679606898384,2
2022-06-03,1926,0.5589759838676199,0.5469213854067938,3
2022-06-04,1926,0.5649734545712166,0.5518483319693173,4
2022-06-05,1926,0.5717843200327388,0.550949598989636,5
2022-06-06,1926,0.5774866926293207,0.5547244448860595,6
2022-06-07,1926,0.584141103481682,0.5580962574952981,7
2022-06-08,1926,0.5878402457286473,0.5626145778655596,8
2022-06-09,1926,0.5892051015364738,0.5645152640159243,9
2022-06-10,1926,0.59284343843707,0.5697996378120104,10
2022-06-11,1926,0.5958972440305603,0.577388503968683,11
2022-06-12,1926,0.5985851474434145,0.5809893221471709,12
2022-06-13,1926,0.5986060241587289,0.5768878018862257,13
2022-06-14,1926,0.5996797356399173,0.58427064273621,14
2022-06-15,1926,0.6009927610546562,0.5936664285524801,15
2022-06-16,1926,0.6023054675861197,0.598562060925788,16
2022-06-17,1926,0.6036335782608931,0.5969886177001753,17
2022-06-18,1926,0.6073872630171613,0.5993369149377201,18
2022-06-19,1926,0.6111149503007152,0.607341507377064,19
2022-06-20,1926,0.6139470327448506,0.6183674382641784,20
2022-06-21,1926,0.6160659424219633,0.6245433111104616,21
2022-06-22,1926,0.6175157699950466,0.6273600034566721,22
2022-06-23,1926,0.6188055022319368,0.6381343548358578,23
2022-06-24,1926,0.6205516312848589,0.6482086877260689,24
2022-06-25,1926,0.6230609930249237,0.6540986771256152,25
2022-06-26,1926,0.625146304322673,0.6574209794887926,26
2022-06-27,1926,0.6273655541258776,0.6606279259345634,27
2022-06-28,1926,0.6308051318469261,0.6708605286171282,28
2022-06-29,1926,0.6330061085862196,0.6739093907100562,29
2022-06-30,1926,0.6351287781111468,0.6770626093444261,30
2022-07-01,1926,0.6372631783423173,0.6803889544031771,31
2022-07-02,1926,0.6391927800132239,0.6815494785757761,32
2022-07-03,1926,0.6425669997966619,0.6811784631508019,33
2022-07-04,1926,0.6460006667661573,0.6789894859328806,34
2022-07-05,1926,0.6478871933807495,0.6869051685296408,35
2022-07-06,1926,0.6491048292094524,0.6877100242712595,36
2022-07-07,1926,0.650111695490323,0.6833565058916053,37
2022-07-08,1926,0.651823660541773,0.6874517399401074,38
2022-07-09,1926,0.6536700072857154,0.6836304056608049,39
2022-07-10,1926,0.65411215726187,0.6808316380356816,40
2022-07-11,1926,0.6551857671743161,0.676235043886102,41
2022-07-12,1926,0.6550358345847133,0.6714241493555859,42
2022-07-13,1926,0.6525467511314146,0.6750239298755569,43
2022-07-14,1926,0.650386372694705,0.6739898101128369,44
2022-07-15,1926,0.6481380613068652,0.6670404351939077,45
2022-07-16,1926,0.6469832466159187,0.6661733016296939,46
2022-07-17,1926,0.6459050271645487,0.6618731396391483,47
2022-07-18,1926,0.6422269656288098,0.6631465896256437,48
2022-07-19,1926,0.6382263358230827,0.6574528674857363,49
2022-07-20,1926,0.6324448453885169,0.6522041316373186,50
2022-07-21,1926,0.6272036667032587,0.6521340294832593,51
2022-07-22,1926,0.6220822570320688,0.6486768906119504,52
2022-07-23,1926,0.6184824795764432,0.6449981048369988,53
2022-07-24,1926,0.6130211132898135,0.6439024229393011,54
2022-07-25,1926,0.610486411009749,0.6459084155449354,55
2022-07-26,1926,0.6065868092342789,0.6422888609721527,56
2022-07-27,1926,0.6036006937631724,0.6364490058633628,57
2022-07-28,1926,0.600222638904681,0.6323588800451101,58
2022-07-29,1926,0.5971846797111345,0.6309326116311661,59
2022-07-30,1926,0.5967461360997488,0.6245716624959775,60
2022-06-01,1927,0.4943549281896954,0.4985908162776871,1
2022-06-02,1927,0.5001155112480236,0.4982333576745796,2
2022-06-03,1927,0.50796003707678,0.5007672167179069,3
2022-06-04,1927,0.5123101980935472,0.5051267301695911,4
2022-06-05,1927,0.5165997778313007,0.5103122648812004,5
2022-06-06,1927,0.52059182649256,0.5090800060649834,6
2022-06-07,1927,0.5286669143439456,0.5117824601875133,7
2022-06-08,1927,0.5332499082664338,0.5178189787655545,8
2022-06-09,1927,0.5380333360004543,0.5225820341841938,9
2022-06-10,1927,0.5441324764747718,0.5227870022582011,10
2022-06-11,1927,0.5480552804181116,0.520371882161169,11
2022-06-12,1927,0.5514230035966231,0.5262272587373515,12
2022-06-13,1927,0.5527124584549472,0.5303235328005358,13
2022-06-14,1927,0.5568164288120631,0.530671073462327,14
2022-06-15,1927,0.5622929645424255,0.5276490927391819,15
2022-06-16,1927,0.5691790499021901,0.5313028239527436,16
2022-06-17,1927,0.5748350013768728,0.5369392912856126,17
2022-06-18,1927,0.5832695575634644,0.5370128585268275,18
2022-06-19,1927,0.5915574282742486,0.5337422012142072,19
2022-06-20,1927,0.5989870893911131,0.5361742322407559,20
2022-06-21,1927,0.6046270192347993,0.5352237025509028,21
2022-06-22,1927,0.6134782347637636,0.5298260402139557,22
2022-06-23,1927,0.6223752378138271,0.5255850298652988,23
2022-06-24,1927,0.6325126336241469,0.5256650692272355,24
2022-06-25,1927,0.6400696671064211,0.5223728915746451,25
2022-06-26,1927,0.6497590215232711,0.5209548596637328,26
2022-06-27,1927,0.6575637942119704,0.5148695442175423,27
2022-06-28,1927,0.6653693974302147,0.5149074863367735,28
2022-06-29,1927,0.6730752394288024,0.5117670998505661,29
2022-06-30,1927,0.6791312854192355,0.507485461849594,30
2022-07-01,1927,0.684177079119571,0.5047560025773441,31
2022-07-02,1927,0.6824960742605788,0.5050568968979865,32
2022-07-03,1927,0.6807381916451833,0.4992358555697705,33
