date,adm1_code,data,prediction,forecast_step
2022-06-01,3407,0.5729479448305926,0.5689988818814897,1
2022-06-02,3407,0.5822095490259203,0.5713366252133383,2
2022-06-03,3407,0.5897126654629775,0.5720080318040518,3
2022-06-04,3407,0.5962962644855331,0.572314474238973,4
2022-06-05,3407,0.6000911448146301,0.5716960010957947,5
2022-06-06,3407,0.6038439435585813,0.5722588897583283,6
2022-06-07,3407,0.6052681478202729,0.5725922583739266,7
2022-06-08,3407,0.6066487731414482,0.5725185458275452,8
2022-06-09,3407,0.6064867682845906,0.5724861296260342,9
2022-06-10,3407,0.6056287878500982,0.5729344913883756,10
2022-06-11,3407,0.6039454029583204,0.5730149262501596,11
2022-06-12,3407,0.6022723760862155,0.573011911100222,12
2022-06-13,3407,0.6008480400975122,0.5732033033355534,13
2022-06-14,3407,0.5983918481692074,0.5734555193721503,14
2022-06-15,3407,0.5972691017576548,0.5734887108153676,15
2022-06-16,3407,0.5981379708519221,0.5736020092949458,16
2022-06-17,3407,0.6013496157059677,0.5738058696778601,17
2022-06-18,3407,0.6044172764719715,0.573944766358098,18
2022-06-19,3407,0.6071650813997058,0.5740214328844432,19
2022-06-20,3407,0.6106952691478311,0.5741815201627112,20
2022-06-21,3407,0.61459276572174,0.5743416900319948,21
2022-06-22,3407,0.6181452115686235,0.5744507255269983,22
2022-06-23,3407,0.6205774956367344,0.5745698765885653,23
2022-06-24,3407,0.6232123446248273,0.5747259600327543,24
2022-06-25,3407,0.6245461148742348,0.5748556862404938,25
2022-06-26,3407,0.624694136848728,0.5749709381067725,26
2022-06-27,3407,0.6252301265379498,0.5751063446450714,27
2022-06-28,3407,0.6266616832962972,0.5752453759576499,28
2022-06-29,3407,0.6300942659189925,0.5753659592507674,29
2022-06-30,3407,0.6336291010234664,0.575490677514656,30
2022-07-01,3407,0.6368750948848101,0.5756248043779804,31
2022-07-02,3407,0.637922202883483,0.5757520173649182,32
2022-07-03,3407,0.6391750318851915,0.5758732973295901,33
2022-07-04,3407,0.6409767635041231,0.5760008578178977,34
2022-07-05,3407,0.6426027201063785,0.5761287729581966,35
2022-07-06,3407,0.6451618890813376,0.5762511343852291,36
2022-07-07,3407,0.6475122342931028,0.5763738704955335,37
2022-07-08,3407,0.6504804242015061,0.5764993564832587,38
2022-07-09,3407,0.6527798082416175,0.5766222483647268,39
2022-07-10,3407,0.654301169210951,0.5767430333854342,40
2022-07-11,3407,0.6556629346168618,0.5768651717702805,41
2022-07-12,3407,0.6584603119271213,0.5769871784596876,42
2022-07-13,3407,0.6628635541417927,0.5771070508528595,43
2022-07-14,3407,0.6667757209048204,0.5772266574484511,44
2022-07-15,3407,0.6724425834155954,0.5773466830031957,45
2022-07-16,3407,0.6764792239974077,0.5774655995302513,46
2022-07-17,3407,0.6807646096613122,0.5775834524326272,47
2022-07-18,3407,0.6836155670855392,0.5777013417665103,48
2022-07-19,3407,0.6874809830012746,0.5778188168292389,49
2022-07-20,3407,0.6904246417270754,0.5779352830201233,50
2022-07-21,3407,0.693372982365835,0.578051271531939,51
2022-07-22,3407,0.695797453764906,0.5781670244533502,52
2022-07-23,3407,0.6960921160704621,0.5782820738661835,53
2022-07-24,3407,0.6965619066051321,0.5783964303742214,54
2022-07-25,3407,0.6966524498281335,0.5785104231964138,55
2022-07-26,3407,0.6971099423632647,0.5786239326385811,56
2022-07-27,3407,0.6959378963044269,0.5787367714463081,57
2022-07-28,3407,0.695032268885183,0.5788491004402864,58
2022-07-29,3407,0.6907692982003772,0.5789609971815654,59
2022-07-30,3407,0.6856405809458788,0.579072325355993,60
2022-06-01,3408,0.6920165175656017,0.6903297356975743,1
2022-06-02,3408,0.6984256072502535,0.6923924206771614,2
2022-06-03,3408,0.7051915745047166,0.6923175313717067,3
2022-06-04,3408,0.7129444942986934,0.6911754415399096,4
2022-06-05,3408,0.7182782615511959,0.688115717029307,5
2022-06-06,3408,0.7224954727846953,0.6850849873099745,6
2022-06-07,3408,0.7268606595413313,0.6834606729845335,7
2022-06-08,3408,0.729220210294379,0.6817102725219379,8
2022-06-09,3408,0.7295062525347843,0.6794273303497822,9
2022-06-10,3408,0.7286587075851758,0.6771210629098348,10
2022-06-11,3408,0.7289322864031789,0.6752235114899243,11
2022-06-12,3408,0.7300070370979531,0.6733540226554683,12
2022-06-13,3408,0.732140474676295,0.6713570091000858,13
2022-06-14,3408,0.734359816025066,0.6693601542457979,14
2022-06-15,3408,0.7373371511717448,0.667495879267584,15
2022-06-16,3408,0.7392449546807939,0.6656719360922408,16
2022-06-17,3408,0.7393156687047464,0.6638344641935447,17
2022-06-18,3408,0.7398726284658742,0.6620136996141519,18
2022-06-19,3408,0.7416006141540008,0.6602492035366007,19
2022-06-20,3408,0.7437254639335158,0.6585191673859854,20
2022-06-21,3408,0.744672471297669,0.6568058748597638,21
2022-06-22,3408,0.7441602327890859,0.6551157643418685,22
2022-06-23,3408,0.7416849143314829,0.6534602188451005,23
2022-06-24,3408,0.7389650136697051,0.6518340888852283,24
2022-06-25,3408,0.7361014481549406,0.6502315959455565,25
2022-06-26,3408,0.7343395930723162,0.6486537041741811,26
2022-06-27,3408,0.7332814004894261,0.6471034227981153,27
2022-06-28,3408,0.7318548988839486,0.6455793797499942,28
2022-06-29,3408,0.7286433000077579,0.6440795627530822,29
2022-06-30,3408,0.7250709944925371,0.642603794275315,30
2022-07-01,3408,0.7227518228720269,0.6411526531036571,31
2022-07-02,3408,0.721876803065278,0.6397255810167559,32
2022-07-03,3408,0.7223845561077912,0.6383217236151929,33
